HRR,HRR Name,Provider ID,Hospital Name,City,State,System,Number of deaths among chronically ill patients assigned to hospital,Percent of enrollees medical inpatient days at hospital to which they were assigned,Hospital Care Intensity Index during the Last Two Years of Life,Total Medicare Reimbursements per Decedent during the Last Two Years of Life,Inpatient Sector Reimbursements per Decedent during the Last Two Years of Life,Outpatient Sector Reimbursements per Decedent during the Last Two Years of Life,SNF/Long-Term Care Sector Reimbursements per Decedent during the Last Two Years of Life,Home Health Sector Reimbursements per Decedent during the Last Two Years of Life,Hospice Sector Reimbursements per Decedent during the Last Two Years of Life,Ambulance spending per Decedent during the last two years of life,Reimbursements for Durable Medical Equipment per Decedent during the Last Two Years of Life,Other spending per Decedent during the last two years of life,Part B Spending per Decedent during the Last Two Years of Life,Part B Spending for Evaluation & Management per Decedent during the Last Two Years of Life,Part B Spending for Procedures per Decedent during the Last Two Years of Life,Part B Spending for Imaging per Decedent during the Last Two Years of Life,Part B Spending for Tests per Decedent during the Last Two Years of Life,Other Part B spending per Decedent during the last two years of life,Hospital reimbursements per Decedent during the last two years of life,Inpatient Days per Decedent during the Last Two Years of Life,Reimbursements per patient day (calculated),Hospital Reimbursements: Ratio to US Average (calculated),Hospital Days: Ratio to US Average (calculated),Reimbursements per Day: Ratio to US Average (calculated),Payments for physician visits per Decedent during the last two years of life,Physician Visits per Decedent during the Last Two Years of Life,Payments per physician visit (calculated),Physician visit payments: Ratio to US Average (calculated),Physician visits: Ratio to US Average (calculated),Payments per visit: Ratio to US Average (calculated),"Hospital Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Total ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","High-Intensity ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Intermediate-Intensity ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Medical & Surgical Unit Bed Inputs per 1,000 Decedents during the Last Two Years of Life","SNF Bed Inputs per 1,000 Dededents during the Last Two Years of Life","FTE Physician Labor Inputs per 1,000 Decedents during the Last Two Years of Life","FTE Medical Specialist Labor Inputs per 1,000 Decedents during the Last Two Years of Life","FTE Primary Care Physician Labor Inputs per 1,000 Decedents during the Last Two Years of Life",Standardized FTE physician labor: Ratio MS/PC (calculated),"RNs Required Under Proposed Federal Standards per 1,000 Decedents during the Last Two Years of Life",Inpatient Days per Decedent during the Last Six Months of Life,Total ICU Days per Decedent during the Last Six Months of Life,High-Intensity ICU Days per Decedent during the Last Six Months of Life,Intermediate-Intensity ICU Days per Decedent during the Last Six Months of Life,Medical & Surgical Unit Days per Decedent during the Last Six Months of Life,SNF Days per Decedent during the Last Six Months of Life,Physician Visits per Decedent during the Last Six Months of Life,Medical Specialist Visits per Decedent during the Last Six Months of Life,Primary Care Visits per Decedent during the Last Six Months of Life,Physician visits per decedent last 6 months: Ratio MS/PC (calculated),Home Health Agency Visits per Decedent during the Last Six Months of Life,Percent of Deaths Occurring In Hospital,Percent of Deaths Associated With ICU Admission,Percent of Decedents Enrolled In Hospice during the Last Six Months of Life,Hospice Days per Decedent during the Last Six Months of Life,Percent of Decedents Seeing 10 or More Different Physicians during the Last Six Months of Life,Number of Different Physicians Seen per Decedent during the Last Six Months of Life,Average Co-Payments per Decedent during the Last Two Years of Life,Average Co-Payments for Physician Services per Decedent during the Last Two Years of Life,Average Co-Payments for Durable Medical Equipment per Decedent during the Last Two Years of Life
208,KY- PADUCAH,180027,Murray-Calloway County Hospital,Murray,KY,,136,91.9,0.9,"66,911","25,920","12,823","15,411","4,919","4,395","1,662","1,516",266,"9,945","4,589","1,627",607,678,"2,444","23,077",17.1,"1,352",0.6,0.9,0.6,"4,636",52.3,89,0.7,0.8,0.8,46.8,15.3,5.1,10.2,31.5,59.7,23.7,7.5,11.3,0.7,41.4,10.8,3.5,1.2,2.3,7.3,10.5,25.4,9.1,13.9,0.7,13.3,15.4,12.7,61.9,19.9,45.2,9.9,"3,293","2,856",437
204,KY- LEXINGTON,180029,Hazard Arh Regional Med Ctr,Hazard,KY,"Appalachian Regional Healthcare, Inc.",277,90.3,1.4,"81,783","43,764","14,476","12,043","2,099","3,626","3,866","1,528",380,"12,644","5,628","1,459",854,560,"4,143","39,056",27.0,"1,448",1.0,1.5,0.7,"6,434",81.2,79,0.9,1.2,0.7,73.9,15.0,12.6,2.3,58.9,55.1,32.3,9.8,18.0,0.5,65.5,16.1,3.7,3.4,0.4,12.3,7.9,42.1,13.6,25.1,0.5,5.0,34.8,23.0,46.0,14.9,70.0,12.8,"4,647","4,128",519
203,KY- COVINGTON,180035,St. Elizabeth Edgewood,Edgewood,KY,St. Elizabeth Healthcare,564,91.2,1.2,"87,088","38,351","17,146","18,221","5,201","5,219","1,422","1,073",454,"13,579","6,866","2,327",701,668,"3,016","33,382",20.2,"1,651",0.9,1.1,0.8,"6,898",74.3,93,1.0,1.1,0.9,55.4,39.4,6.5,32.9,16.0,55.2,30.7,16.2,9.2,1.8,54.7,11.6,8.8,1.8,7.1,2.7,8.5,37.8,19.8,9.0,2.2,10.1,20.3,19.2,62.1,19.2,66.9,16.5,"4,295","3,975",320
444,WV- HUNTINGTON,180036,Our Lady Of Bellefonte Hospital,Ashland,KY,,235,89.8,0.9,"72,238","31,269","14,746","12,605","4,271","5,109","2,541","1,044",653,"13,935","5,651","2,247",964,763,"4,310","27,304",15.2,"1,800",0.7,0.8,0.9,"5,661",57.2,99,0.8,0.9,0.9,41.6,8.5,7.7,0.8,33.0,71.7,24.1,11.9,7.1,1.7,37.2,9.1,2.2,2.0,0.2,6.9,11.4,26.8,13.5,5.0,2.7,8.8,16.7,13.6,69.0,23.9,56.0,12.2,"4,419","4,070",349
207,KY- OWENSBORO,180038,Owensboro Health Regional Hospital,Owensboro,KY,Owensboro Health,539,93.5,0.8,"78,994","38,008","18,639","11,608","4,314","2,967","1,543","1,165",749,"11,133","5,418","1,936",841,945,"1,993","34,429",14.5,"2,382",0.9,0.8,1.1,"5,504",58.6,94,0.8,0.9,0.9,39.6,17.8,6.1,11.7,21.8,72.4,26.1,11.5,9.5,1.2,37.2,8.5,4.2,1.6,2.6,4.2,13.9,28.5,13.4,10.1,1.3,9.3,23.6,18.8,53.4,14.1,63.1,12.7,"3,607","3,246",361
205,KY- LOUISVILLE,180040,Jewish Hospital-Louisville,Louisville,KY,UofL Health,431,87.5,1.2,"88,164","46,732","14,775","13,408","4,439","4,466","1,643","1,980",720,"16,150","7,763","2,627",984,"1,100","3,676","40,550",19.7,"2,062",1.1,1.1,1.0,"7,792",79.2,98,1.1,1.2,0.9,53.9,31.3,5.2,26.1,22.6,59.7,33.6,17.8,10.0,1.8,50.8,10.4,6.6,1.5,5.1,3.8,9.5,39.0,22.9,11.0,2.1,8.2,21.6,17.7,53.0,20.9,69.2,16.1,"5,231","4,616",615
204,KY- LEXINGTON,180044,Pikeville Medical Center,Pikeville,KY,,400,88.5,1.0,"83,050","46,772","13,586","11,439","2,816","3,998","2,598","1,275",566,"10,058","4,479","1,477",735,651,"2,716","43,064",21.9,"1,969",1.1,1.2,0.9,"4,821",56.8,85,0.7,0.9,0.8,59.9,12.5,10.9,1.6,47.4,54.8,26.7,10.6,11.5,0.9,53.5,12.9,3.2,2.9,0.2,9.8,9.6,26.3,10.3,13.0,0.8,5.3,35.7,25.8,40.0,19.1,64.7,13.5,"3,787","3,373",413
203,KY- COVINGTON,180045,St. Elizabeth Florence,Florence,KY,St. Elizabeth Healthcare,223,81.8,1.2,"90,436","38,545","13,910","25,066","4,928","4,033","2,538",786,630,"15,013","7,634","2,450",930,713,"3,286","33,283",19.7,"1,691",0.9,1.1,0.8,"7,682",71.0,108,1.1,1.1,1.0,53.9,33.1,6.3,26.8,20.8,82.9,28.9,15.3,8.5,1.8,51.9,11.2,7.5,1.7,5.7,3.7,14.7,35.2,17.4,6.7,2.6,11.3,19.4,17.8,61.1,14.5,67.7,16.1,"4,353","4,079",275
204,KY- LEXINGTON,180048,Ephraim Mcdowell Reg Med Ctr,Danville,KY,Ephraim McDowell Health,287,90.2,0.8,"74,982","31,189","18,128","9,204","6,437","5,235","2,093","2,094",602,"12,475","5,422","2,054","1,159",615,"3,226","27,537",16.5,"1,667",0.7,0.9,0.8,"5,565",50.8,110,0.8,0.8,1.0,45.3,7.0,5.5,1.5,38.2,55.0,25.7,10.3,11.1,0.9,38.5,8.8,1.3,1.0,0.3,7.6,8.5,22.8,9.1,10.8,0.8,14.3,24.5,11.7,50.9,21.1,62.1,12.7,"4,290","3,647",643
204,KY- LEXINGTON,180049,Baptist Health Richmond,Richmond,KY,Baptist Health,117,78.9,0.8,"77,890","31,836","18,741","13,615","4,767","4,123","2,387","1,576",845,"14,607","5,749","1,947",975,"1,001","4,935","28,318",14.3,"1,981",0.8,0.8,1.0,"6,035",51.6,117,0.8,0.8,1.1,39.2,11.6,8.2,3.4,27.6,64.6,22.0,10.8,7.1,1.5,36.4,8.3,2.8,2.4,0.5,5.5,11.0,24.0,11.4,6.4,1.8,7.5,17.8,10.8,60.1,15.8,51.1,11.9,"4,098","3,628",470
204,KY- LEXINGTON,180050,Harlan Arh Hospital,Harlan,KY,"Appalachian Regional Healthcare, Inc.",120,84.5,1.0,"70,978","38,207","10,873","10,668","1,858","4,928","3,264","1,051",130,"9,400","3,872","1,235",610,349,"3,334","34,779",20.8,"1,675",0.9,1.2,0.8,"4,687",58.1,81,0.7,0.9,0.7,56.9,15.2,13.2,2.0,41.7,56.0,24.0,7.6,12.1,0.6,53.1,13.8,4.4,3.9,0.5,9.4,11.0,31.7,9.6,17.9,0.5,3.0,33.0,19.5,39.0,20.8,47.9,10.5,"3,347","2,971",376
380,TN- NASHVILLE,180051,Jennie Stuart Medical Center,Hopkinsville,KY,,157,84.7,1.0,"77,735","34,963","17,997","14,451","4,089","2,285","2,768",630,554,"18,083","5,835","1,747",799,944,"8,758","31,265",18.2,"1,717",0.8,1.0,0.8,"6,110",65.8,93,0.9,1.0,0.9,49.9,21.1,9.7,11.4,28.8,77.5,30.6,11.5,14.3,0.8,47.5,11.2,5.3,2.8,2.5,5.9,14.2,31.1,13.1,14.4,0.9,9.7,28.3,21.5,26.6,9.3,57.3,12.0,"5,177","4,989",188
179,IN- EVANSVILLE,180056,Methodist Hospital-Henderson,Henderson,KY,Deaconess Health System,101,85.3,1.0,"86,608","39,287","14,700","17,135","5,397","6,303","1,947","1,452",387,"12,357","6,200","2,133",903,593,"2,528","34,702",19.1,"1,817",0.9,1.1,0.9,"6,200",63.3,98,0.9,1.0,0.9,52.3,29.3,9.5,19.8,23.0,72.9,28.0,12.3,10.9,1.1,51.3,10.2,6.0,1.7,4.3,4.3,13.0,30.4,15.1,10.8,1.4,12.2,21.8,15.7,59.3,25.7,56.0,12.2,"3,830","3,388",441
204,KY- LEXINGTON,180067,U Of Ky Albert B. Chandler Hosp,Lexington,KY,,472,81.1,0.9,"82,173","44,248","13,628","11,521","4,055","4,361","2,278","1,583",498,"10,696","4,311","1,819",829,734,"3,002","40,706",19.8,"2,061",1.1,1.1,1.0,"4,622",51.5,90,0.6,0.8,0.8,54.1,31.7,10.7,21.0,22.4,48.4,24.0,9.6,8.8,1.1,53.9,11.9,7.2,2.7,4.4,4.7,7.6,25.1,10.1,9.1,1.1,9.3,19.2,16.8,63.5,20.1,61.2,13.9,"4,184","3,697",487
204,KY- LEXINGTON,180080,Baptist Health Corbin,Corbin,KY,Baptist Health,211,85.5,1.0,"83,581","38,977","16,806","14,489","4,166","2,981","3,667","1,843",651,"13,371","5,800","1,788",943,818,"4,022","34,128",20.8,"1,644",0.9,1.2,0.8,"6,334",57.2,111,0.9,0.9,1.0,56.9,18.1,8.2,9.9,38.8,76.6,22.1,9.4,8.4,1.1,51.3,12.6,4.3,2.3,2.1,8.3,14.3,27.1,10.0,7.8,1.3,7.0,27.8,20.5,43.3,15.1,67.0,14.4,"4,393","3,774",619
205,KY- LOUISVILLE,180087,Taylor Regional Hospital,Campbellsville,KY,CommonSpirit Health,105,87.8,0.9,"85,167","33,107","18,755","16,355","6,954","5,012","3,204","1,480",300,"13,003","5,111","2,083",781,613,"4,414","29,862",19.5,"1,534",0.8,1.1,0.7,"5,262",52.1,101,0.7,0.8,0.9,53.3,27.2,7.8,19.3,26.2,108.9,25.5,7.1,13.6,0.5,50.7,11.1,6.1,2.0,4.1,5.0,16.1,24.9,6.9,14.9,0.5,15.2,25.8,20.2,46.0,25.1,51.3,11.2,"4,209","3,744",465
205,KY- LOUISVILLE,180088,Norton Hospital,Louisville,KY,Norton Healthcare,"1,338",89.4,1.0,"80,838","36,776","18,862","12,916","4,759","4,215","1,476","1,155",678,"13,197","6,588","2,310",950,"1,072","2,276","32,072",17.2,"1,861",0.9,1.0,0.9,"6,627",68.9,96,0.9,1.0,0.9,47.2,28.0,6.7,21.3,19.2,66.1,32.2,14.1,11.9,1.2,45.7,10.4,5.8,1.8,4.1,4.6,11.4,35.4,17.7,13.7,1.3,9.5,21.0,18.1,59.8,19.6,71.7,16.6,"4,346","3,982",364
204,KY- LEXINGTON,180092,Clark Regional Medical Center,Winchester,KY,LifePoint Health,115,79.4,0.7,"72,790","30,777","13,911","11,702","5,338","6,354","2,430","1,889",389,"11,488","5,501","1,594",911,636,"2,846","27,512",13.1,"2,106",0.7,0.7,1.0,"5,809",48.5,120,0.8,0.7,1.1,35.8,15.6,8.2,7.3,20.2,60.1,23.6,9.4,9.6,1.0,34.8,8.1,3.8,2.1,1.8,4.3,8.5,23.1,9.8,8.5,1.1,10.4,10.4,9.5,71.3,27.5,61.2,13.5,"3,710","3,128",582
208,KY- PADUCAH,180093,Baptist Health Madisonville,Madisonville,KY,Baptist Health,245,90.9,0.9,"73,459","33,538","15,677","14,587","4,152","2,141","1,901","1,062",401,"11,762","5,458","1,922",798,634,"2,950","29,757",16.8,"1,774",0.8,0.9,0.9,"5,608",58.6,96,0.8,0.9,0.9,46.0,10.0,5.9,4.1,35.9,72.9,27.5,7.8,14.5,0.5,39.9,9.5,2.5,1.5,0.9,7.0,11.5,27.3,8.5,15.1,0.6,9.4,33.0,22.5,29.1,11.3,65.8,13.4,"3,900","3,558",342
208,KY- PADUCAH,180102,Lourdes Hospital,Paducah,KY,Mercy Health,390,89.0,0.9,"76,626","28,853","19,692","15,398","3,564","5,051","2,303","1,149",615,"16,569","5,532","2,049",729,968,"7,291","25,073",15.9,"1,581",0.7,0.9,0.8,"5,662",54.0,105,0.8,0.8,1.0,43.4,16.2,6.5,9.6,27.3,81.3,24.4,10.4,9.5,1.1,39.9,8.7,3.7,1.6,2.1,5.0,14.1,24.5,10.6,9.8,1.1,6.8,11.3,8.2,65.1,23.6,59.1,12.6,"5,088","4,721",366
204,KY- LEXINGTON,180103,Baptist Health Lexington,Lexington,KY,Baptist Health,517,89.8,1.0,"78,039","33,141","17,438","13,763","4,904","5,327","1,701","1,189",575,"12,407","6,117","2,001",883,844,"2,563","28,905",18.5,"1,566",0.8,1.0,0.8,"6,229",60.6,103,0.9,0.9,1.0,50.6,10.2,6.9,3.2,40.4,58.2,24.6,12.1,7.8,1.6,43.9,10.7,2.2,1.7,0.5,8.5,10.1,29.7,13.6,8.3,1.6,9.7,15.2,9.6,68.8,19.8,72.7,16.5,"3,885","3,528",357
208,KY- PADUCAH,180104,Baptist Health Paducah,Paducah,KY,Baptist Health,377,90.1,0.8,"70,821","31,126","17,390","12,549","3,185","2,729","1,758","1,458",627,"14,493","5,414","2,118",728,994,"5,240","27,331",15.2,"1,797",0.7,0.8,0.9,"5,607",51.5,109,0.8,0.8,1.0,41.7,7.8,6.4,1.4,33.9,68.0,25.2,9.2,11.0,0.8,36.4,8.8,1.8,1.7,0.1,7.0,11.1,25.0,9.8,12.0,0.8,7.1,31.0,18.7,38.3,12.5,60.7,12.6,"4,379","3,946",433
208,KY- PADUCAH,180116,Jackson Purchase Medical Center,Mayfield,KY,LifePoint Health,146,87.5,1.0,"76,961","30,515","14,199","20,751","3,870","3,261","2,910",980,476,"13,833","6,602","1,590",585,639,"4,417","25,750",17.3,"1,485",0.7,1.0,0.7,"6,847",61.2,112,1.0,0.9,1.0,47.5,17.5,7.8,9.7,30.0,119.4,28.6,13.3,11.0,1.2,43.9,10.2,3.4,1.8,1.5,6.8,18.8,30.4,15.7,12.4,1.3,7.4,15.0,9.6,47.2,17.1,55.0,11.3,"4,258","3,947",311
380,TN- NASHVILLE,180124,Tristar Greenview Regional Hospital,Bowling Green,KY,HCA Healthcare,166,81.8,1.0,"76,625","34,106","15,744","15,475","4,908","2,654","2,049",954,735,"16,386","6,123","2,214",949,"1,105","5,995","29,725",17.6,"1,688",0.8,1.0,0.8,"6,218",67.6,92,0.9,1.0,0.9,48.2,10.4,8.4,2.0,37.9,66.6,29.6,12.7,11.5,1.1,43.0,10.6,2.7,2.4,0.3,7.9,10.6,34.0,15.2,14.2,1.1,12.8,25.9,17.2,51.0,9.9,60.2,13.0,"4,730","4,443",287
204,KY- LEXINGTON,180127,Frankfort Regional Med Ctr,Frankfort,KY,HCA Healthcare,151,90.3,1.2,"80,924","39,125","15,768","14,973","4,090","3,233","1,848","1,298",587,"15,931","7,026","2,376",970,869,"4,691","33,957",20.9,"1,626",0.9,1.2,0.8,"7,180",73.4,98,1.0,1.1,0.9,57.2,24.6,8.1,16.4,32.7,73.8,32.6,13.8,13.2,1.0,53.1,11.9,5.7,2.3,3.3,6.2,10.0,37.1,18.5,14.9,1.2,6.9,28.6,23.0,50.8,13.0,70.9,14.8,"4,967","4,563",403
205,KY- LOUISVILLE,180130,Baptist Health Louisville,Louisville,KY,Baptist Health,962,92.7,1.0,"70,783","30,311","16,611","11,652","3,999","4,905","1,294","1,030",981,"13,447","6,826","2,292",843,"1,091","2,395","26,093",16.8,"1,556",0.7,0.9,0.7,"6,845",65.9,104,1.0,1.0,1.0,45.9,7.5,4.4,3.1,38.4,62.0,27.2,15.1,6.5,2.3,38.5,10.1,1.8,1.2,0.6,8.3,11.0,32.5,17.9,5.9,3.0,7.6,29.3,14.0,50.3,16.7,70.9,16.5,"3,900","3,599",301
204,KY- LEXINGTON,180132,Lake Cumberland Regional Hosp,Somerset,KY,LifePoint Health,350,90.0,0.8,"71,928","32,060","14,744","10,947","4,694","5,044","1,974","1,852",613,"12,287","4,300","1,899",759,913,"4,416","28,733",16.0,"1,796",0.8,0.9,0.9,"4,899",46.4,106,0.7,0.7,1.0,43.8,16.8,12.4,4.3,27.1,65.5,21.1,7.7,9.2,0.8,43.3,9.9,4.3,3.3,1.0,5.6,10.2,23.3,8.2,9.6,0.9,12.3,16.7,14.8,67.4,21.3,54.3,11.6,"4,223","3,642",581
205,KY- LOUISVILLE,180141,University Of Louisville Hosp,Louisville,KY,,181,81.9,0.8,"80,046","39,727","15,658","12,285","4,204","4,818","1,809",850,694,"10,209","4,449","1,954",854,898,"2,054","36,384",16.5,"2,201",1.0,0.9,1.1,"4,512",51.2,88,0.6,0.8,0.8,45.3,25.4,10.2,15.2,19.9,64.3,26.1,11.7,7.6,1.6,45.4,9.7,6.2,2.7,3.5,3.6,10.5,24.4,11.8,7.2,1.6,7.6,26.2,23.1,56.9,19.5,55.9,12.6,"3,443","3,202",241
204,KY- LEXINGTON,180143,St. Joseph East,Lexington,KY,CommonSpirit Health,93,80.2,0.9,"78,140","32,179","14,880","13,884","7,282","6,022","2,201",840,852,"14,082","6,086","1,752","1,129",987,"4,128","28,434",15.1,"1,886",0.8,0.8,0.9,"6,256",56.4,111,0.9,0.9,1.0,41.3,28.1,7.4,20.7,13.2,53.5,22.0,10.9,6.7,1.6,41.7,9.3,6.6,2.0,4.6,2.8,8.0,30.1,13.6,6.9,2.0,13.7,15.1,-99999.0,56.5,21.2,67.2,14.5,"3,914","3,666",248
213,LA- LAFAYETTE,190002,Lafayette General Medical Center,Lafayette,LA,Ochsner Lafayette General,569,90.4,1.0,"77,494","32,403","15,811","13,220","5,980","6,713","1,718","1,290",359,"13,477","5,896","3,323","1,313",686,"2,259","28,009",18.1,"1,544",0.7,1.0,0.7,"5,973",61.9,96,0.8,0.9,0.9,49.7,8.3,5.0,3.3,41.4,61.0,29.2,12.7,11.3,1.1,41.8,10.2,2.1,1.3,0.7,8.1,9.2,28.4,13.7,11.8,1.2,11.9,18.1,12.6,65.4,33.6,60.8,13.7,"4,378","3,991",387
212,LA- HOUMA,190004,Thibodaux Regional Med Ctr,Thibodaux,LA,QHR,241,92.2,0.8,"66,049","25,936","17,742","11,367","4,324","4,053","1,287","1,016",325,"10,806","5,177","1,924","1,208",702,"1,795","22,531",13.7,"1,644",0.6,0.8,0.8,"5,381",65.6,82,0.8,1.0,0.8,37.6,12.3,5.7,6.5,25.3,57.2,26.5,11.2,10.7,1.1,34.1,8.6,3.0,1.5,1.5,5.5,7.0,31.0,12.7,14.1,0.9,12.4,17.9,13.9,65.6,21.9,60.5,12.0,"3,661","3,338",324
219,LA- SHREVEPORT,190007,Natchitoches Regional Med Ctr,Natchitoches,LA,CHRISTUS Health,96,88.0,1.1,"82,635","33,579","16,117","20,035","6,918","3,328",453,"1,773",434,"14,787","7,603","2,311","1,950",775,"2,148","28,103",13.8,"2,044",0.7,0.8,1.0,"7,686",85.2,90,1.1,1.3,0.8,37.7,10.7,10.1,0.6,27.0,63.0,35.3,13.9,16.5,0.8,36.0,8.6,2.8,2.7,0.2,5.8,12.3,44.1,21.4,20.3,1.1,13.6,27.7,15.2,45.7,12.9,52.3,11.1,"4,390","3,838",553
212,LA- HOUMA,190008,Terrebonne General Med Ctr,Houma,LA,,308,94.8,1.0,"77,822","32,679","17,797","15,156","5,312","3,482","1,332","1,650",413,"12,469","6,227","2,373","1,132",777,"1,959","28,167",19.5,"1,444",0.7,1.1,0.7,"6,252",64.2,97,0.9,1.0,0.9,53.4,41.9,8.9,33.0,11.5,67.8,28.2,9.9,13.2,0.7,55.0,12.6,10.1,2.5,7.6,2.5,10.1,32.8,9.8,18.1,0.5,13.0,22.7,20.1,56.7,15.9,58.1,12.0,"4,220","3,703",518
214,LA- LAKE CHARLES,190013,West Calcasieu Cameron Hospital,Sulphur,LA,,106,95.5,0.7,"65,128","25,539","11,123","14,501","4,332","6,460","1,313","1,398",462,"9,966","5,073","1,476","1,008",458,"1,951","22,540",13.4,"1,681",0.6,0.7,0.8,"5,085",47.2,108,0.7,0.7,1.0,36.7,8.4,6.2,2.3,28.3,55.3,22.4,7.2,11.2,0.6,32.7,8.6,2.0,1.5,0.5,6.6,10.5,22.7,9.6,11.0,0.9,11.0,12.2,-99999.0,71.7,24.5,44.4,9.7,"3,151","2,721",430
212,LA- HOUMA,190014,Teche Regional Medical Center,Morgan City,LA,Ochsner Health,81,90.6,0.8,"80,842","34,312","17,429","15,446","5,614","3,838","1,902","1,792",508,"11,427","5,134","1,618",906,770,"2,998","31,265",17.5,"1,786",0.8,1.0,0.9,"5,173",55.3,94,0.7,0.8,0.9,48.0,19.3,7.2,12.0,28.7,68.4,24.9,8.7,11.9,0.7,44.4,11.7,6.0,2.3,3.7,5.7,9.1,27.1,7.8,15.9,0.5,16.9,23.5,18.5,59.9,19.4,52.0,10.9,"3,720","3,197",523
210,LA- BATON ROUGE,190015,North Oaks Medical Center,Hammond,LA,North Oaks Health System,339,93.8,1.1,"88,233","33,897","16,139","21,175","6,915","6,564","1,870","1,142",530,"15,730","7,859","2,837","1,047",750,"3,237","28,811",17.8,"1,619",0.8,1.0,0.8,"7,891",76.1,104,1.1,1.1,1.0,48.8,30.6,20.8,9.8,18.2,55.2,33.9,14.3,14.3,1.0,54.6,10.1,6.8,4.5,2.3,3.3,9.3,36.3,17.3,15.3,1.1,14.9,21.5,18.9,63.3,28.3,67.3,14.5,"4,952","4,588",364
213,LA- LAFAYETTE,190017,Opelousas General Health System,Opelousas,LA,,217,89.7,0.8,"86,175","33,884","16,143","18,631","6,216","6,677","3,268","1,016",340,"15,308","6,377","3,363","1,357",679,"3,532","29,539",14.0,"2,116",0.8,0.8,1.0,"6,397",58.6,109,0.9,0.9,1.0,38.3,14.8,6.0,8.8,23.5,73.4,27.9,8.6,13.9,0.6,35.4,7.8,3.7,1.6,2.0,4.2,10.2,26.1,8.6,12.6,0.7,15.0,21.4,16.6,60.2,32.7,52.3,11.3,"4,788","4,459",329
209,LA- ALEXANDRIA,190019,Christus St. Frances Cabrini Hosp,Alexandria,LA,CHRISTUS Health,382,86.2,1.0,"79,690","32,579","13,643","16,553","5,643","7,965","1,989",979,339,"12,466","5,629","2,419","1,012",659,"2,746","28,208",17.2,"1,641",0.8,1.0,0.8,"5,788",63.0,92,0.8,1.0,0.9,47.1,6.4,4.2,2.2,40.7,62.6,27.5,10.7,11.5,0.9,39.0,10.3,1.5,1.1,0.4,8.8,10.0,30.3,12.3,13.9,0.9,10.7,27.8,13.5,59.7,36.4,60.9,12.8,"4,204","3,878",326
210,LA- BATON ROUGE,190020,Lane Regional Medical Center,Zachary,LA,QHR,95,85.9,0.8,"83,073","30,597","14,684","22,652","5,708","6,150","1,399","1,306",578,"12,415","5,915","1,912",983,567,"3,037","26,851",14.6,"1,845",0.7,0.8,0.9,"5,981",51.7,116,0.8,0.8,1.1,39.9,25.7,6.1,19.6,14.2,66.4,22.3,7.1,10.9,0.7,39.4,7.7,4.8,1.2,3.6,2.9,7.4,19.5,5.8,8.9,0.6,13.4,11.8,11.4,64.4,26.5,50.3,10.6,"3,710","3,302",408
209,LA- ALEXANDRIA,190026,Rapides Regional Medical Center,Alexandria,LA,HCA Healthcare,440,89.1,1.0,"83,115","32,691","14,215","17,327","5,424","9,305","2,627","1,109",417,"15,132","5,641","2,413","1,051",746,"5,281","28,495",18.1,"1,575",0.8,1.0,0.8,"5,846",65.0,90,0.8,1.0,0.8,49.6,7.2,6.3,0.9,42.4,63.6,28.5,10.3,13.0,0.8,42.1,11.1,1.9,1.8,0.2,9.1,10.5,32.6,12.6,16.2,0.8,10.6,29.0,14.8,60.0,39.5,54.7,11.7,"4,912","4,556",356
214,LA- LAKE CHARLES,190027,Christus St. Patrick Hospital,Lake Charles,LA,CHRISTUS Health,228,88.0,0.8,"84,830","39,214","15,378","14,638","6,670","5,626","1,553","1,258",493,"12,817","5,966","2,577","1,298",855,"2,120","34,756",15.1,"2,303",0.9,0.8,1.1,"6,023",58.0,104,0.8,0.9,1.0,41.3,8.1,6.7,1.4,33.2,61.8,27.8,9.7,13.0,0.7,36.4,9.1,2.2,2.0,0.3,6.9,8.8,28.4,10.4,12.7,0.8,14.5,19.1,13.1,67.1,27.6,57.3,11.9,"4,250","3,853",397
218,LA- NEW ORLEANS,190036,Ochsner Med Ctr-New Orleans,New Orleans,LA,Ochsner Health,488,87.0,0.8,"79,676","36,573","20,600","9,836","4,417","5,214","1,355","1,232",449,"11,873","5,817","2,291",867,693,"2,204","32,483",16.3,"1,998",0.9,0.9,1.0,"5,855",53.4,110,0.8,0.8,1.0,44.5,25.8,9.4,16.4,18.8,35.8,27.2,13.3,8.0,1.7,44.5,10.3,6.4,2.5,3.9,3.9,5.1,25.9,12.7,7.5,1.7,10.5,22.2,18.2,64.2,25.4,65.0,14.6,"4,143","3,745",398
218,LA- NEW ORLEANS,190039,West Jefferson Medical Center,Marrero,LA,LCMC Health,177,87.7,1.1,"80,276","38,181","12,518","17,859","3,826","4,551","1,249","1,475",617,"12,839","7,723","2,020",757,781,"1,558","32,742",18.5,"1,775",0.9,1.0,0.9,"7,757",75.0,103,1.1,1.1,1.0,50.6,26.5,10.4,16.1,24.0,59.8,34.0,14.0,14.8,0.9,49.7,12.1,7.7,2.9,4.8,4.4,9.8,41.4,18.9,17.8,1.1,8.9,24.6,21.2,60.4,25.0,68.2,15.1,"4,272","3,779",493
